,Latitude,Longitude,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Year,Month,Day,Islamic Year,Islamic Month,Islamic Day,Blast Day Type Num,City Num,Province Num,Location Category Num,Location Sensitivity Num,Open/Closed Space Num,Target Type Num
0,33.718,73.0718,14.0,15.0,31.397260273972602,60.0,2.0,1995,11,19,1416,6,26,0,17,2,4,0,0,2
1,24.9918,66.9911,14.725714285714286,3.0,31.397260273972602,3.0,1.0,2000,11,6,1421,8,10,2,19,6,11,1,0,4
2,24.9918,66.9911,13.0,15.0,20.0,40.0,1.0,2002,5,8,1423,2,25,2,19,6,7,2,0,2
3,24.9918,66.9911,14.725714285714286,12.0,31.397260273972602,51.0,1.0,2002,6,14,1423,4,3,2,19,6,4,0,0,2
4,30.2095,67.0182,44.0,47.0,31.397260273972602,65.0,1.0,2003,7,4,1424,5,4,2,43,1,14,2,0,7
5,33.6058,73.0437,16.0,18.0,31.397260273972602,50.0,2.0,2003,12,25,1424,11,2,0,44,5,10,1,1,5
6,33.6058,73.0437,14.725714285714286,1.0,3.0,4.0,1.0,2004,2,28,1425,1,8,2,44,5,14,2,0,7
7,24.9918,66.9911,14.0,15.0,96.0,200.0,1.0,2004,5,7,1425,3,18,2,19,6,14,2,0,7
8,24.9918,66.9911,16.0,18.0,31.397260273972602,35.0,1.0,2004,5,31,1425,4,12,2,19,6,14,2,0,7
9,32.9746,70.1456,14.725714285714286,2.0,31.397260273972602,2.0,1.0,2004,6,3,1425,4,15,2,37,3,9,0,1,5
10,33.5833,71.4333,2.0,3.0,31.397260273972602,3.0,2.0,2004,7,28,1425,6,11,2,24,4,15,0,0,5
11,33.7645,72.3667,14.725714285714286,7.0,44.0,70.0,1.0,2004,7,30,1425,6,13,2,0,5,12,1,1,3
12,32.4972,74.5361,25.0,31.0,50.0,75.0,1.0,2004,10,1,1425,8,17,2,50,5,14,2,0,7
13,31.5451,74.3407,4.0,5.0,6.0,10.0,1.0,2004,10,10,1425,8,26,0,26,5,14,2,0,7
14,30.2095,67.0182,25.0,50.0,8.0,100.0,1.0,2005,3,19,1426,2,9,2,43,1,14,2,0,7
15,35.2227,72.4258,14.725714285714286,2.0,31.397260273972602,39.45986984815618,1.0,2005,4,28,1426,3,19,2,55,4,12,1,1,1
16,33.718,73.0718,20.0,25.0,82.0,100.0,1.0,2005,5,27,1426,4,19,2,17,2,14,2,0,1
17,24.9918,66.9911,5.0,6.0,19.0,30.0,1.0,2005,5,30,1426,4,22,2,19,6,14,2,0,7
18,33.5351,71.0713,37.0,40.0,90.0,39.45986984815618,1.0,2006,2,9,1427,1,10,0,14,4,12,1,1,7
19,24.9918,66.9911,4.0,5.0,30.0,54.0,1.0,2006,3,2,1427,2,2,2,19,6,7,2,1,2
20,24.9918,66.9911,47.0,57.0,31.397260273972602,100.0,1.0,2006,4,12,1427,3,14,0,19,6,12,2,1,7
21,32.9861,70.6042,6.0,7.0,7.0,8.0,1.0,2006,6,2,1427,5,6,2,2,4,10,0,1,5
22,32.9746,70.1456,6.0,7.0,31.397260273972602,26.0,1.0,2006,6,26,1427,5,30,2,37,3,9,0,1,5
23,25.8377,66.5224,14.725714285714286,1.0,31.397260273972602,0.0,1.0,2006,8,6,1427,7,12,0,28,1,8,1,1,1
24,34.503,71.9046,40.0,42.0,20.0,39.0,1.0,2006,11,8,1427,10,17,2,30,4,9,0,1,5
25,34.0043,71.5448,14.725714285714286,1.0,31.397260273972602,2.0,1.0,2006,11,17,1427,10,26,2,40,4,10,0,1,6
26,32.9861,70.6042,14.725714285714286,1.0,31.397260273972602,1.0,1.0,2006,12,3,1427,11,12,0,2,4,13,0,1,6
27,32.9746,70.1456,4.0,5.0,23.0,25.0,1.0,2007,1,22,1428,1,3,2,37,3,10,0,1,5
28,33.718,73.0718,1.0,2.0,5.0,7.0,1.0,2007,1,26,1428,1,7,2,17,2,7,2,0,2
29,34.0043,71.5448,13.0,15.0,30.0,60.0,1.0,2007,1,27,1428,1,8,2,40,4,14,2,0,1
30,31.8238,70.9095,2.0,3.0,31.397260273972602,7.0,1.0,2007,1,29,1428,1,10,0,9,4,13,0,1,1
31,32.6018,70.9148,14.725714285714286,1.0,31.397260273972602,39.45986984815618,1.0,2007,2,3,1428,1,15,2,27,4,8,1,1,1
32,31.8238,70.9095,14.725714285714286,2.0,7.0,8.0,1.0,2007,2,3,1428,1,15,2,58,4,10,0,1,5
33,33.718,73.0718,14.725714285714286,1.0,3.0,10.0,1.0,2007,2,6,1428,1,18,2,17,2,0,0,1,1
34,30.2095,67.0182,16.0,17.0,30.0,35.0,1.0,2007,2,17,1428,1,29,2,43,1,5,0,0,1
35,32.5737,74.0786,1.0,2.0,6.0,8.0,1.0,2007,3,29,1428,3,10,2,13,5,9,0,1,5
36,34.1509,71.7359,25.0,35.0,29.0,60.0,1.0,2007,4,28,1428,4,11,2,7,4,12,1,1,3
37,34.0043,71.5448,22.0,26.0,12.0,35.0,1.0,2007,5,15,1428,4,28,2,40,4,7,2,0,2
38,32.226,70.3761,14.725714285714286,3.0,31.397260273972602,2.0,1.0,2007,5,28,1428,5,11,2,58,4,10,0,1,5
